Roles	Description	Privileges
Defender AI	Service role that provides permissions for Microsoft Defender for AI	Yes
Azure Device Registry Administrator	Azure Device Registry Administrator	Yes
Defender Storage Malware Data Scanner	Grants data plane permissions for Microsoft Defender for Storage scanning operations — blob/file read, index tag updates.	Yes
Defender Storage Automated Malware Remediation	Grants additional permissions for Microsoft Defender for Storage automated remediation operations including soft-delete management and blob deletion.	Yes
Confidential Ledger Data Contributor	Allows read and write access to Confidential Ledger transactions, including reading entries, receipts, and transaction status, and creating new ledger entries.	No
Pro Active Coding Data User	Allows processing of health data in Pro Active Coding	No
Defender Azure SQL Databases	Microsoft Defender for Azure SQL Databases role. Grant permissions for enablement.	Yes
Defender Storage Malware Operator	Grants permissions for Microsoft Defender for Storage malware scanning operations including blob/file read, index tag updates, EventGrid management, and network bypass.	Yes
Confidential Ledger Data Reader	Allows read access to Confidential Ledger transactions, including reading entries, receipts, and transaction status.	No
Microsoft Discovery Bookshelf Index Data Reader - Preview	Grants query access to search and retrieve data from Microsoft Discovery Bookshelf knowledge bases. This is the minimum role required to use the retrieve action when linking a knowledge base to an agent. This role is in preview and subject to change.	No
Oracle Database DbSystems Administrator	Grants full access to manage DbSystems resources	Yes
Azure Managed Redis Contributor	Lets you manage Azure Managed Redis resources, but not access the data stored in them.	Yes
Azure Managed Redis Reader	Lets you view Azure Managed Redis resources, but not modify them or access keys or access to the data stored in them.	Yes
Dev Compute SandboxGroup Data Owner	Ownership of all SandboxGroup data.	No
Services Hub User	Services Hub User allows you to perform all read, write, and deletion operations related to Services Hub Connectors except create/delete connector and managing law.	Yes
Genome EndUser	Full access to Genome data plane operations only	No
Diagnostics Operator	Role allows users to collect diagnostic information regarding their Virtual Machine	Yes
Azure Resilience Management Usage Administrator	Administrator Role of Azure Resilience Management Usage	Yes
Azure Resilience Management Usage Contributor	Contributor Role of Azure Resilience Management Usage	Yes
Azure Resilience Management Usage Reader	Reader Role of Azure Resilience Management Usage	Yes
