Roles	Description	Privileges
Experimentation Metric Contributor	Allows for creation, writes and reads to the metric set via the metrics service APIs.	Yes
Project Babylon Data Curator	The Microsoft.ProjectBabylon data curator can create, read, modify and delete catalog data objects and establish relationships between objects. This role is in preview and subject to change.	Yes
Project Babylon Data Reader	The Microsoft.ProjectBabylon data reader can read catalog data objects. This role is in preview and subject to change.	Yes
Project Babylon Data Source Administrator	The Microsoft.ProjectBabylon data source administrator can manage data sources and data scans. This role is in preview and subject to change.	Yes
Application Group Contributor	Contributor of the Application Group.	Yes
Desktop Virtualization Reader	Reader of Desktop Virtualization.	Yes
Desktop Virtualization Contributor	Contributor of Desktop Virtualization.	Yes
Desktop Virtualization Workspace Contributor	Contributor of the Desktop Virtualization Workspace.	Yes
Desktop Virtualization User Session Operator	Operator of the Desktop Virtualization User Session.	Yes
Desktop Virtualization Session Host Operator	Operator of the Desktop Virtualization Session Host.	Yes
Desktop Virtualization Host Pool Reader	Reader of the Desktop Virtualization Host Pool.	Yes
Desktop Virtualization Host Pool Contributor	Contributor of the Desktop Virtualization Host Pool.	Yes
Desktop Virtualization Application Group Reader	Reader of the Desktop Virtualization Application Group.	Yes
Desktop Virtualization Application Group Contributor	Contributor of the Desktop Virtualization Application Group.	Yes
Desktop Virtualization Workspace Reader	Reader of the Desktop Virtualization Workspace.	Yes
Disk Backup Reader	Provides permission to backup vault to perform disk backup.	Yes
Disk Restore Operator	Provides permission to backup vault to perform disk restore.	Yes
Disk Snapshot Contributor	Provides permission to backup vault to manage disk snapshots.	Yes
Microsoft.Kubernetes connected cluster role	Microsoft.Kubernetes connected cluster role.	Yes
Security Detonation Chamber Submission Manager	Allowed to create and manage submissions to Security Detonation Chamber	No
Security Detonation Chamber Publisher	Allowed to publish and modify platforms, workflows and toolsets to Security Detonation Chamber	No
Collaborative Runtime Operator	Can manage resources created by AICS at runtime	Yes
CosmosRestoreOperator	Can perform restore action for Cosmos DB database account with continuous backup mode	Yes
FHIR Data Converter	Role allows user or principal to convert data from legacy format to FHIR	No
Quota Request Operator	Read and create quota requests, get quota request status, and create support tickets.	Yes
EventGrid Contributor	Lets you manage EventGrid operations.	Yes
Security Detonation Chamber Reader	Allowed to query submission info and files from Security Detonation Chamber	No
Object Anchors Account Reader	Lets you read ingestion jobs for an object anchors account.	No
Object Anchors Account Owner	Provides user with ingestion capabilities for an object anchors account.	No
WorkloadBuilder Migration Agent Role	WorkloadBuilder Migration Agent Role.	Yes
Azure Spring Cloud Data Reader	Allow read access to Azure Spring Cloud Data	No
Cognitive Services Speech Contributor	Full access to Speech projects, including read, write and delete all entities, for real-time speech recognition and batch transcription tasks, real-time speech synthesis and long audio tasks, custom speech and custom voice.	Yes
Cognitive Services Face Recognizer	Lets you perform detect, verify, identify, group, and find similar operations on Face API. This role does not allow create or delete operations, which makes it well suited for endpoints that only need inferencing capabilities, following 'least privilege' best practices.	No
Stream Analytics Query Tester	Lets you perform query testing without creating a stream analytics job first	Yes
AnyBuild Builder	Basic user role for AnyBuild. This role allows listing of agent information and execution of remote build capabilities.	No
IoT Hub Data Reader	Allows for full read access to IoT Hub data-plane properties	No
IoT Hub Twin Contributor	Allows for read and write access to all IoT Hub device and module twins.	No
